iter	Passed	Remaining
0	447	178660
1	897	178664
2	1127	149199
3	1524	150905
4	1917	151467
5	2332	153166
6	2794	156895
7	3241	158812
8	3650	158573
9	3925	153110
10	4324	152924
11	4707	152193
12	5130	152743
13	5525	152352
14	5959	152961
15	6251	150028
16	6625	149275
17	7010	148775
18	7399	148370
19	7792	148065
20	8183	147700
21	8588	147564
22	8994	147429
23	9403	147324
24	9775	146629
25	10157	146108
26	10530	145476
27	10930	145221
28	11353	145249
29	11739	144784
30	12098	144011
31	12476	143485
32	12872	143158
33	13245	142585
34	13629	142133
35	14017	141731
36	14378	141062
37	14797	140963
38	15109	139863
39	15441	138975
40	15832	138634
41	16201	138095
42	16618	137972
43	17043	137894
44	17449	137657
45	17815	137104
46	18188	136603
47	18557	136091
48	18907	135440
49	19238	134670
50	19617	134247
51	19984	133741
52	20337	133152
53	20686	132548
54	21059	132101
55	21429	131639
56	21793	131140
57	22149	130604
58	22526	130198
59	22900	129768
60	23347	129748
61	23702	129217
62	24058	128692
63	24387	128036
64	24630	126944
65	24950	126265
66	25295	125723
67	25614	125057
68	25947	124471
69	26249	123746
70	26592	123223
71	26916	122617
72	27237	122007
73	27602	121601
74	27955	121138
75	28281	120568
76	28641	120144
77	28996	119705
78	29326	119160
79	29680	118720
80	29883	117691
81	30254	117328
82	30607	116897
83	30935	116377
84	31305	116014
85	31636	115508
86	31933	114887
87	32319	114586
88	32651	114095
89	32965	113547
90	33334	113189
91	33701	112825
92	34037	112360
93	34372	111893
94	34705	111422
95	34926	110600
96	35277	110196
97	35619	109767
98	35955	109318
99	36238	108716
100	36612	108387
101	36995	108084
102	37353	107709
103	37700	107300
104	38033	106855
105	38371	106427
106	38753	106118
107	39121	105772
108	39335	105015
109	39556	104286
110	39913	103919
111	40274	103562
112	40629	103190
113	41014	102896
114	41404	102611
115	41766	102256
116	42098	101829
117	42283	101050
118	42598	100589
119	42796	99858
120	43129	99447
121	43311	98693
122	43529	98029
123	43743	97365
124	44070	96955
125	44392	96537
126	44747	96190
127	45030	95689
128	45396	95368
129	45656	94825
130	46018	94495
131	46220	93841
132	46571	93494
133	46951	93201
134	47125	92505
135	47521	92247
136	47905	91963
137	48241	91589
138	48494	91058
139	48824	90673
140	49065	90128
141	49433	89815
142	49751	89414
143	50130	89121
144	50434	88695
145	50620	88066
146	50993	87764
147	51285	87324
148	51626	86967
149	52014	86690
150	52386	86385
151	52710	86001
152	52928	85447
153	53199	84980
154	53415	84430
155	53589	83818
156	53831	83319
157	54172	82973
158	54312	82323
159	54660	81990
160	54985	81625
161	55344	81307
162	55607	80852
163	55961	80529
164	56309	80198
165	56557	79725
166	56899	79386
167	57069	78809
168	57175	78151
169	57383	77636
170	57719	77297
171	58135	77063
172	58305	76504
173	58663	76195
174	58985	75838
175	59343	75527
176	59577	75060
177	59923	74735
178	60083	74181
179	60431	73860
180	60766	73523
181	61089	73173
182	61446	72862
183	61792	72538
184	62138	72214
185	62502	71911
186	62865	71606
187	63218	71288
188	63488	70878
189	63739	70449
190	64074	70112
191	64490	69864
192	64852	69556
193	64977	68996
194	65302	68651
195	65621	68299
196	65990	68000
197	66329	67668
198	66651	67321
199	66996	66996
200	67292	66622
201	67558	66220
202	67883	65877
203	68225	65549
204	68534	65191
205	68889	64876
206	69110	64436
207	69285	63956
208	69529	63541
209	69689	63052
210	69877	62591
211	69993	62069
212	70323	61739
213	70501	61277
214	70864	60976
215	71178	60633
216	71517	60312
217	71861	59994
218	72245	59709
219	72610	59408
220	72866	59018
221	73129	58635
222	73448	58297
223	73779	57969
224	73967	57530
225	74323	57222
226	74716	56942
227	75078	56637
228	75283	56215
229	75647	55913
230	75862	55500
231	76196	55176
232	76532	54853
233	76903	54555
234	77172	54184
235	77413	53795
236	77733	53462
237	78084	53150
238	78289	52739
239	78629	52419
240	78811	51995
241	78968	51557
242	79191	51164
243	79468	50807
244	79724	50438
245	80048	50111
246	80386	49793
247	80708	49466
248	80842	49025
249	81106	48663
250	81358	48296
251	81581	47913
252	81828	47544
253	82014	47142
254	82163	46720
255	82421	46361
256	82641	45983
257	83012	45689
258	83362	45382
259	83555	44991
260	83793	44625
261	84136	44316
262	84510	44022
263	84869	43720
264	85197	43402
265	85360	43001
266	85720	42699
267	86069	42392
268	86404	42078
269	86735	41761
270	87043	41433
271	87178	41025
272	87365	40642
273	87717	40337
274	87990	39995
275	88323	39681
276	88659	39368
277	88920	39022
278	89099	38641
279	89455	38338
280	89825	38040
281	90148	37721
282	90252	37312
283	90522	36973
284	90624	36567
285	90904	36234
286	91119	35876
287	91477	35574
288	91836	35272
289	92055	34917
290	92420	34618
291	92648	34267
292	92959	33947
293	93310	33642
294	93644	33330
295	94013	33031
296	94231	32679
297	94509	32349
298	94851	32040
299	95090	31696
300	95267	31333
301	95600	31022
302	95963	30721
303	96210	30382
304	96580	30082
305	96929	29775
306	97179	29438
307	97435	29104
308	97667	28762
309	97935	28432
310	98304	28132
311	98697	27837
312	99002	27518
313	99329	27205
314	99660	26892
315	99872	26548
316	100037	26192
317	100287	25860
318	100643	25555
319	100988	25247
320	101195	24904
321	101438	24571
322	101647	24231
323	101964	23917
324	102233	23592
325	102437	23252
