iter	Logloss
0	0.5976872616
1	0.5270152198
2	0.462602653
3	0.4124083863
4	0.3733989689
5	0.3425537544
6	0.3176716574
7	0.2987016068
8	0.2841696242
9	0.2709821768
10	0.2618320629
11	0.2537505648
12	0.2462783334
13	0.2403665363
14	0.235545501
15	0.2318955638
16	0.2284263323
17	0.2255679291
18	0.222876056
19	0.2206345038
20	0.2187218419
21	0.2172138399
22	0.2159586585
23	0.215178647
24	0.2140565933
25	0.213094154
26	0.2123261131
27	0.2115614678
28	0.2108925293
29	0.2104384935
30	0.2100180075
31	0.2096066533
32	0.2091785813
33	0.2088095878
34	0.2084804283
35	0.2083061137
36	0.2080278239
37	0.2077704535
38	0.2074976375
39	0.2072380661
40	0.2071814725
41	0.2069579758
42	0.2067580671
43	0.2065528418
44	0.2064236305
45	0.2062990515
46	0.2061970023
47	0.206090939
48	0.2060007642
49	0.2058498276
50	0.2057375952
51	0.2056575149
52	0.2055727113
53	0.2054580499
54	0.2053650355
55	0.2052767837
56	0.2052106547
57	0.2051203692
58	0.2050475444
59	0.2049542256
60	0.2048495756
61	0.2048105973
62	0.2047348502
63	0.2046412419
64	0.2045345488
65	0.2044692736
66	0.2044168242
67	0.2043490683
68	0.2043069056
69	0.2042664935
70	0.2042081536
71	0.2041458977
72	0.2040921197
73	0.2040492428
74	0.2039713355
75	0.2039273541
76	0.2038837423
77	0.2038457543
78	0.2037983434
79	0.203752543
80	0.2037000008
81	0.2036598957
82	0.2036118108
83	0.203588003
84	0.2035442844
85	0.2034877725
86	0.2034563566
87	0.2034055479
88	0.2033651792
89	0.2033329279
90	0.2032633796
91	0.2032235286
92	0.2031857618
93	0.2031649767
94	0.2031483174
95	0.2031279152
96	0.2030922262
97	0.2030574056
98	0.2030307158
99	0.2030125058
100	0.2029703517
101	0.2029466804
102	0.2029234647
103	0.202906152
104	0.2028942886
105	0.202891465
106	0.2028834766
107	0.2028570772
108	0.2028251872
109	0.2027951778
110	0.2027676036
111	0.202763499
112	0.2027346846
113	0.2026888755
114	0.2026617463
115	0.2026369908
116	0.2025966048
117	0.2025648592
118	0.202549238
119	0.2025351238
120	0.202509287
121	0.2024945806
122	0.2024726498
123	0.2024363781
124	0.2024125236
125	0.202391885
126	0.2023718524
127	0.2023671453
128	0.2023663447
129	0.2023410408
130	0.2023097324
131	0.2022994254
132	0.2022809707
133	0.2022507502
134	0.2022280947
135	0.2022196281
136	0.2022070319
137	0.2021942809
138	0.2021516818
139	0.2021433808
140	0.2021067659
141	0.2020906368
142	0.2020787312
143	0.202051091
144	0.2020505622
145	0.2020492273
146	0.2020439065
147	0.202026614
148	0.201978486
149	0.2019770997
150	0.2019454954
151	0.2019173614
152	0.2018962383
153	0.2018675116
154	0.201849892
155	0.2018373233
156	0.2018147446
157	0.2017914142
158	0.2017686728
159	0.2017615986
160	0.2017561353
161	0.2017354601
162	0.2017071412
163	0.201695339
164	0.2016659881
165	0.2016560266
166	0.2016522337
167	0.2016106381
168	0.2015894152
169	0.2015669172
170	0.2015265986
171	0.2014938274
172	0.2014759987
173	0.2014675245
174	0.2014467256
175	0.2014231434
176	0.2014194839
177	0.2013979505
178	0.2013878619
179	0.2013814673
180	0.201348915
181	0.2013383478
182	0.2013082215
183	0.2012913554
184	0.2012771532
185	0.2012672467
186	0.2012254092
187	0.2012214942
188	0.201196669
189	0.2011891074
190	0.2011757366
191	0.2011422099
192	0.2011234742
193	0.2011095356
194	0.2010897102
