iter	Passed	Remaining
0	546	190878
1	701	122018
2	1062	122888
3	1491	129010
4	1892	130607
5	2229	127803
6	2575	126222
7	2803	119837
8	2957	112073
9	3290	111864
10	3388	104415
11	3634	102359
12	3965	102789
13	4306	103353
14	4670	104305
15	4938	103096
16	5288	103589
17	5634	103926
18	5983	104243
19	6328	104425
20	6664	104409
21	7045	105044
22	7389	105060
23	7509	102003
24	7823	101711
25	8108	101045
26	8485	101507
27	8873	102040
28	9211	101957
29	9561	101990
30	9885	101729
31	10273	102089
32	10624	102061
33	10989	102141
34	11355	102196
35	11630	101441
36	12006	101567
37	12358	101468
38	12680	101115
39	12999	100743
40	13091	98664
41	13442	98578
42	13733	98047
43	14049	97709
44	14396	97572
45	14710	97219
46	15043	96979
47	15387	96812
48	15710	96505
49	16090	96543
50	16407	96194
51	16714	95784
52	17040	95489
53	17379	95267
54	17724	95066
55	18065	94841
56	18443	94807
57	18783	94565
58	19161	94510
59	19538	94438
60	19872	94149
61	20230	93974
62	20560	93662
63	20891	93359
64	21245	93152
65	21564	92791
66	21898	92495
67	22213	92119
68	22563	91888
69	22913	91655
70	23266	91427
71	23623	91214
72	24000	91071
73	24385	90951
74	24714	90621
75	25075	90402
76	25385	90004
77	25726	89712
78	26082	89474
79	26391	89069
80	26733	88780
81	27011	88280
82	27303	87831
83	27690	87686
84	28036	87406
85	28402	87188
86	28763	86952
87	29090	86610
88	29451	86367
89	29816	86137
90	30150	85813
91	30504	85545
92	30829	85194
93	31098	84694
94	31460	84445
95	31775	84073
96	32086	83689
97	32415	83353
98	32795	83147
99	33143	82859
100	33500	82591
101	33840	82279
102	34151	81896
103	34434	81450
104	34752	81089
105	34919	80379
106	35167	79865
107	35473	79486
108	35840	79243
109	36203	78988
110	36536	78669
111	36898	78408
112	37234	78094
113	37570	77777
114	37933	77516
115	38303	77266
116	38628	76927
117	38968	76616
118	39313	76313
119	39650	75996
120	39967	75641
121	40278	75274
122	40598	74925
123	40927	74593
124	41237	74227
125	41577	73916
126	41901	73574
127	42216	73218
128	42427	72685
129	42756	72356
130	43036	71946
131	43385	71652
132	43712	71320
133	44074	71044
134	44419	70742
135	44764	70438
136	45102	70123
137	45488	69880
138	45834	69575
139	46194	69291
140	46535	68978
141	46843	68615
142	47211	68340
143	47530	67994
144	47616	67319
145	47784	66767
146	48130	66466
147	48449	66126
148	48770	65790
149	48896	65195
150	49207	64849
151	49580	64585
152	49975	64347
153	50381	64121
154	50707	63793
155	51040	63472
156	51333	63104
157	51734	62867
158	52115	62604
159	52398	62222
160	52698	61863
161	53095	61617
162	53462	61333
163	53799	61016
164	54160	60725
165	54547	60462
166	54851	60106
167	55188	59787
168	55515	59457
169	55847	59133
170	56172	58800
171	56542	58514
172	56902	58218
173	57205	57862
174	57558	57558
175	57934	57276
176	58274	56957
177	58646	56669
178	58980	56344
179	59283	55989
180	59620	55667
181	59948	55337
182	60233	54966
183	60550	54627
184	60897	54314
185	61243	53999
186	61604	53697
187	61950	53383
188	62301	53071
189	62655	52762
190	63030	52470
191	63401	52173
192	63716	51831
193	64071	51521
194	64425	51210
195	64763	50885
196	65102	50561
197	65434	50232
198	65808	49934
199	66160	49620
200	66495	49292
201	66839	48971
202	67203	48664
203	67567	48357
204	67969	48075
205	68293	47738
206	68624	47407
207	68991	47099
208	69376	46804
209	69719	46479
210	70080	46166
211	70415	45836
212	70785	45528
213	71127	45202
214	71511	44902
215	71882	44593
216	72215	44260
217	72482	43888
218	72812	43554
219	73174	43239
220	73532	42921
221	73890	42603
222	74254	42288
223	74529	41922
224	74854	41585
225	75217	41269
226	75554	40939
227	75906	40616
228	76277	40303
229	76597	39963
230	76910	39620
231	77255	39293
232	77605	38969
233	77920	38627
234	78241	38288
235	78608	37971
236	78947	37641
237	79295	37315
238	79654	36994
239	79965	36650
240	80288	36313
241	80608	35973
242	80939	35640
243	81301	35319
244	81641	34989
245	82006	34669
246	82319	34327
247	82666	34000
248	82989	33662
249	83310	33324
250	83675	33003
251	83995	32664
252	84321	32328
253	84646	31992
254	84978	31658
255	85359	31342
256	85696	31010
257	86042	30681
258	86435	30369
259	86806	30048
260	87140	29714
261	87509	29392
262	87840	29057
263	88236	28743
264	88592	28416
265	88927	28082
266	89268	27750
267	89599	27414
268	89961	27088
269	90289	26752
270	90610	26414
271	90938	26077
272	91247	25736
273	91638	25418
274	91929	25071
275	92246	24732
276	92614	24407
277	92910	24063
278	93255	23731
279	93528	23382
280	93856	23046
281	94213	22718
282	94508	22374
283	94856	22044
284	95196	21711
285	95540	21379
286	95857	21041
287	96152	20699
288	96489	20366
289	96824	20032
290	97158	19698
291	97490	19364
292	97838	19033
293	98164	18698
294	98520	18368
295	98846	18032
296	99181	17699
297	99507	17363
298	99869	17034
299	100226	16704
300	100569	16371
301	100919	16040
302	101249	15705
303	101621	15377
304	102025	15052
305	102382	14721
306	102736	14389
307	103135	14063
308	103492	13732
309	103803	13393
310	104169	13063
311	104519	12729
312	104851	12394
313	105226	12064
314	105609	11734
315	105988	11403
316	106318	11067
317	106675	10734
318	107042	10402
319	107363	10065
320	107731	9732
321	108050	9395
322	108395	9060
323	108726	8724
324	109012	8385
325	109376	8052
326	109728	7717
327	110069	7382
328	110412	7047
329	110757	6712
330	111134	6379
331	111467	6043
332	111841	5709
333	112180	5373
334	112525	5038
335	112893	4703
336	113249	4368
337	113569	4032
338	113888	3695
339	114244	3360
340	114603	3024
341	115028	2690
342	115401	2355
343	115758	2019
344	116079	1682
345	116440	1346
346	116813	1009
347	117152	673
348	117450	336
349	117762	0
